title,id,vote_count,vote_average,original_language,runtime,production_companies,genres
White_Squall,10534,86,6.3,en,129,Hollywood_Pictures-Largo_Entertainment-Scott_Free_Productions,Action-Drama
Dunston_Checks_In,17414,59,5.1,en,88,Twentieth_Century_Fox_Film_Corporation-Joe_Wizan_Todd_Black,Adventure-Comedy-Family
Black_Sheep,13997,124,6,en,87,Paramount_Pictures,Comedy
Nick_of_Time,2086,190,6.1,en,90,Paramount_Pictures,Crime-Drama-Thriller
The_Journey_of_August_King,61548,3,6.7,en,91,Miramax_Films-Addis_Wechsler_Pictures,Drama
Mary_Reilly,9095,77,5.7,en,104,TriStar_Pictures-NFH_Productions,Drama-Horror-Thriller-Romance
Vampire_in_Brooklyn,12158,113,4.5,en,100,Paramount_Pictures,Comedy-Horror-Romance
Beautiful_Girls,9283,103,6.6,en,112,Miramax_Films-Woods_Entertainment,Comedy-Drama-Romance
Broken_Arrow,9208,459,5.7,en,108,Twentieth_Century_Fox_Film_Corporation-WCG_Entertainment_Productions-Mark_Gordon_Productions,Action-Adventure-Drama-Thriller
A_Midwinters_Tale,40154,6,7.5,en,99,Castle_Rock_Entertainment-Midwinter_Films,Comedy
La_Haine,406,695,7.9,fr,98,Egg_Pictures-PolyGram_Filmed_Entertainment-Canal-Les_Productions_Lazennec-La_Sept_Cinéma-iKasso_Inc_Productions-iStudio_Image-iCofinergie_6,Drama
Shopping,45549,13,5.6,en,105,Channel_Four_Films,Action-Adventure-Drama-Science_Fiction-Thriller
Heidi_Fleiss:_Hollywood_Madam,63076,4,6.8,en,106,British_Broadcasting_Corporation-Westdeutscher_Rundfunk-Canadian_Broadcasting_Corporation,Documentary
City_Hall,11062,67,6,en,111,Columbia_PicturesCastle_Rock_Entertainment,Drama-Thriller
Bottle_Rocket,13685,285,6.8,en,91,Gracie_Films-Columbia_Pictures_Corporation,Comedy-Crime-Drama
Mr._Wrong,47475,16,3.3,en,96,Touchstone_Pictures,Comedy-Romance
Unforgettable,2045,22,5.3,en,106,Metro-Goldwyn-Mayer-Dino_De_Laurentiis_Company-iSpelling_Films,Drama-Mystery-Science_Fiction-Thriller
Happy_Gilmore,9614,767,6.5,en,92,Universal_Pictures-Brillstein-Grey_Entertainment-Robert_Simonds_Productions,Comedy
The_Bridges_of_Madison_County,688,397,7.3,en,135,Amblin_Entertainment-Malpaso_Productions-Warner_Bros,Drama-Romance
Muppet_Treasure_Island,10874,93,6.5,en,100,Walt_Disney_Pictures-Jim_Henson_Productions-Jim_Henson_Company,Action-Comedy-Music-Family-Adventure
Catwalk,89333,2,7,en,95,Walt_Disney_Pictures,Documentary
Headless_Body_in_Topless_Bar,96357,0,0,en,110,Castle_Rock_Entertainment-Midwinter_Films,Crime
Braveheart,197,3404,7.7,en,177,Icon_Entertainment_International-The_Ladd_Company-BH_Finance,Action-Drama-History-War
Taxi_Driver,103,2632,8.1,en,114,Columbia_Pictures_Corporation-Italo_and-Judeo_Productions-iBill_Phillips,Crime-Drama
Rumble_in_the_Bronx,33542,245,6.5,cn,91,New_Line_Cinema-Golden_Harvest_Company,Crime-Action-Comedy-Thriller
Before_and_After,43566,37,5.8,en,108,Caravan_Pictures-Hollywood_Pictures,Drama-Thriller
Margarets_Museum,71754,2,7.5,en,114,Telefilm_Canada-Skyline_Films-Malofilm-Societe_de_Developpement_des_Entreprises_Culturelles-British_Screen_Productions-iNational_Film_Board_of_Canada-iimX_Communications-iGlace_Bay_Pictures-iCine_Tele_Action-iNova_Scotia_Film_Development_Corporation-iRanfilm,Drama
Happiness_Is_in_the_Field,43612,23,7,en,106,France_2_Cinema-France_3_Cinema-StudioCanal-Les_Productions_du_Champ_Poirier-Telema_Productions,Comedy
Anne_Frank_Remembered,51352,4,7.3,en,117,Caravan_Pictures-Hollywood_Pictures,Documentary-Drama-Foreign
The_Young_Poisoners_Handbook,16934,19,6.9,en,99,Bavaria_Film_and_Television_Fund,Comedy-Crime-Drama
If_Lucy_Fell,10324,11,5.4,en,92,TriStar_Pictures-Motion_Picture_Corporation_of_America,Comedy-Romance
Steal_Big_Steal_Little,78406,7,5.1,en,113,Savoy_Pictures,Comedy-Drama
Race_the_Sun,55731,21,5.2,en,100,TriStar_Pictures,Action-Adventure-Comedy-Drama-Family
The_Boys_of_St._Vincent,32119,7,7,en,90,TriStar_Pictures,Drama
Boomerang,11066,139,5.4,en,117,Paramount_Pictures,Comedy-Romance
Chungking_Express,11104,249,7.9,cn,102,Jet_Tone_Production-The_Criterion_Collection,Drama-Comedy-Romance
The_Star_Maker,37975,29,6.8,it,113,Cecchi_Gori_Group_Tiger_Cinematografica,Drama-Romance
Flirting_with_Disaster,2074,66,6.3,en,92,Miramax_Films,Comedy-Romance
The_Neverending_Story_III:_Escape_from_Fantasia,27793,105,4.4,en,95,Studio_Babelsberg-Dieter_Geissler_Filmproduktion-Cinevox_Filmproduktion_GmbH-Warner_Bros-_Miramax,Fantasy
The_Silences_of_the_Palace,44284,3,4.3,ar,116,Canal_Horizons-iMat_Films-iCinetelefilms,Drama
Pie_in_the_Sky,110972,2,7,en,95,Canal_Horizons-iMat_Films-iCinetelefilms,Comedy-Romance
Angela,32622,9,5.6,en,99,Miramax_Films,Comedy-Drama
Frankie_Starlight,73067,4,5.4,it,101,Fine_Line_FeaturesChannel_Four_Films-Bord_Scannan_na_hEireann-Canal,Drama-Romance-War
Jade,11863,45,5.1,en,95,Paramount_Pictures,Action-Thriller-Mystery-Romance
Nueba_Yol,55475,1,5.5,es,102,Cigua_Films-iDPelicula,Comedy-Drama-Romance
Sonic_Outlaws,124636,0,0,en,87,Paramount_Pictures,Music-Documentary
Down_Periscope,9101,110,5.6,en,92,Twentieth_Century_Fox_Film_Corporation,Comedy
From_the_Journals_of_Jean_Seberg,123360,2,6.5,en,97,Couch_Potatoe_Productions,Documentary
Man_of_the_Year,5757,2,3.8,en,86,Couch_Potatoe_Productions,Comedy
The_Neon_Bible,39428,5,7.2,en,91,Channel_Four_Films-Academy-iMayfair_Films-iIberoamerica_Films,Drama
Up_Close_&_Personal,9302,51,5.9,en,119,Cinergi_Pictures_Entertainment-Touchstone_Pictures,Drama-Romance
The_Birdcage,11000,303,6.7,en,117,United_Artists,Comedy
Virgin_Mary,249882,2,7,en,125,United_Artists,Drama
The_Brothers_McMullen,16388,23,6.3,en,98,Fox_Searchlight_Pictures,Comedy-Drama-Romance
Bad_Boys,9737,1729,6.5,en,118,Columbia_PicturesDon_Simpson_and_Jerry_Bruckheimer_Films,Action-Comedy-Crime-Thriller
The_Amazing_Panda_Adventure,30765,31,5,en,81,Warner_Bros.,Action-Adventure-Drama-Family
The_Basketball_Diaries,10474,472,7.2,en,102,New_Line_Cinema-Island_Pictures,Drama-Crime
An_Awfully_Big_Adventure,22279,11,6,en,113,Fine_Line_FeaturesBBC-British_Screen_Productions-iPortman_Productions,Romance-Drama-Comedy
Amateur,30157,21,6.5,en,105,Channel_Four_Films-Zenith_Entertainment-American_Playhouse-Union_Generale_Cinematographique-La_Sept_Cinema-iTrue_Fiction_Pictures,Crime-Comedy-Drama-Thriller
Apollo_13,568,1637,7.3,en,140,Imagine_Entertainment-Universal_Pictures,Drama
Rob_Roy,11780,151,6.5,en,139,United_Artists-Talisman_Productions,Adventure
The_Addiction,34996,46,6.4,en,82,October_Films-Guild-Fastnet_Films,Drama-Horror
Batman_Forever,414,1529,5.2,en,121,Warner_Bros-Polygram_Filmed_Entertainment,Action-Crime-Fantasy
Belle_de_Jour,649,163,7.3,fr,101,Paris_Films_Productions-Five_Films-Robert_et_Raymond_Hakim,Drama-Romance
Beyond_Rangoon,1873,21,6.4,en,100,Columbia_PicturesCastle-Rock_Entertainment,Drama-Thriller 
Blue_in_the_Face,5894,28,6.8,en,83,Miramax_Films-InterAL,Comedy
Canadian_Bacon,1775,57,5.9,en,91,PolyGram_Filmed_Entertainment,Action-Comedy
Casper,8839,1045,6,en,100,Universal_Pictures-Amblin_Entertainment-The_Harvey_Entertainment_Company,Fantasy-Comedy-Family
Clockers,20649,69,6.8,en,128,Universal_Pictures-40_Acres_&_A_Mule_Filmworks,Mystery-Crime-Drama
Congo,10329,214,5,en,109,Paramount_PicturesKennedy/Marshall_Company,_Action-Adventure-Drama-Mystery-Science_Fiction-Thriller
Crimson_Tide,8963,508,7,en,116,Hollywood_Pictures-Don_Simpson_and_Jerry_Bruckheimer_Films,Action-Thriller-Drama
Crumb,26564,71,7.6,en,119,Superior_Pictures,Documentary
Desperado,8068,898,6.8,en,104,Columbia_PicturesLos_Hooligans_Productions,Thriller-Action-Crime
Devil_in_a_Blue_Dress,8512,88,6.3,en,102,TriStar_Pictures-Mundy_Lane_Entertainment,Drama-Mystery-Thriller
Die_Hard:_With_a_Vengeance,1572,2094,6.9,en,128,Twentieth_Century_Fox_Film_Corporation-Cinergi_Pictures_Entertainment,Action-Thriller
The_Doom_Generation,13552,57,5.6,en,80,Why_Not_Productions-Desperate_Pictures-Blurco-The_Teen_Angst_Movie_Company,Action-Comedy-Crime-Drama
Feast_of_July,259209,0,0,en,116,Touchstone_Pictures-Merchant_Ivory_Productions,Drama-Crime
First_Knight,6520,319,5.9,en,134,Columbia_Pictures_Corporation-First_Knight_Productions,Action-Adventure-Drama-Romance
Free_Willy_2_-_The_Adventure_Home,9073,130,5.5,en,95,Regency_Enterprises-Alcor_Films-Canal-Donner_and_Shuler-Donner_Productions-Warner_Bros,Adventure
Hackers,10428,406,6.2,en,107,United_Artists-Suftley,Action-Crime-Thriller-Drama
Jeffrey,17447,19,6.5,en,92,The_Booking_Office-iWorkin_Man_Films,Comedy-Drama-Romance
Johnny_Mnemonic,9886,380,5.5,en,97,TriStar_Pictures-Alliance_Communications_Corporation,Adventure-Action-Drama-Science_Fiction-Thriller
Judge_Dredd,9482,643,5.4,en,96,Hollywood_Pictures-Cinergi_Pictures_Entertainment,Science_Fiction
Jury_Duty,19326,34,4,en,88,TriStar_Pictures,Comedy-Drama
Kids,9344,280,6.8,en,91,Miramax_Films,Drama-Crime
Living_in_Oblivion,9071,64,7.2,en,89,JDI_productions-iLemon_Sky_Productions,Drama-Comedy
Lord_of_Illusions,8973,87,5.9,en,119,United_Artists-Seraphim_Films,Mystery-Horror-Thriller
Love_&_Human_Remains,15730,7,7,en,100,The_Ontario_Film_Development_Corporation-First_Choice_Films-Atlantis_Films-Telefilm_Canada-Max_Films_Productions-Super_Ecran-iSociete_Generale_des_Industries,Comedy-Drama
Mad_Love,47608,27,5.5,en,95,Touchstone_Pictures,Drama-Family-Romance
Mallrats,2293,400,6.8,en,94,Universal_Pictures-Gramercy_Pictures-Alphaville_Films-iView_Askew_Productions,Romance-Comedy
Mighty_Morphin_Power_Rangers:_The_Movie,9070,153,5.2,en,92,Twentieth_Century_Fox_Film_Corporation-Saban_Entertainment-Toei_Company,Action-Adventure-Science_Fiction-Family_Fantasy
Moonlight_and_Valentino,68274,10,5.6,en,100,PolyGram_Filmed_Entertainment-Working_Title_Films,Comedy-Drama-Romance
Mute_Witness,48787,36,6.4,en,95,Comet_Film_Produktion_GmbH-iAvrora_Media-iCobblestone_Pictures,Thriller-Foreign
Nadja,34574,12,5.9,en,93,Kino_Link_Company,Horror-Thriller
The_Net,1642,359,5.6,en,114,Columbia_Pictures,Crime-Drama-Mystery-Thriller-Action
Nine_Months,11472,171,5.5,en,103,Twentieth_Century_Fox_Film_Corporation-1492_Pictures,Comedy
Party_Girl,36196,14,5.8,en,94,Party_Productions,Comedy
The_Prophecy,11980,139,6.4,en,98,Dimension_Films,Fantasy-Horror-Thriller
Reckless,58372,1,10,en,91,Playhouse_International_Pictures-American_Playhouse-Samuel_Goldwyn_Company,Fantasy-Comedy-Drama
Safe,32646,62,7.2,en,119,Killer_Films-American_Playhouse-Kardana_Films-iChemical_Films,Drama
The_Scarlet_Letter,10533,111,5.5,en,135,Hollywood_Pictures-Cinergi_Pictures_Entertainment,Drama-History-Romance
The_Show,56088,2,5.3,en,93,Hollywood_Pictures-Cinergi_Pictures_Entertainment,Documentary
Showgirls,10802,261,4.9,en,128,United_Artists-Le_Studio-Canal-Carolco_Pictures,Drama
Smoke,10149,115,7.2,en,112,Miramax_Films,Comedy-Drama
Something_to_Talk_About,18402,60,5.7,en,106,Spring_Creek_Productions-Warner_Bros-Hawn_and_Sylbert_Movie_Company,Comedy
Species,9348,457,5.5,en,108,Metro-Goldwyn-Mayer,Science_Fiction-Horror-Action
The_Stars_Fell_on_Henrietta,139408,6,6.6,en,109,Malpaso_Productions-Butchers_Run_Films-Warner_Bros,Drama
Strange_Days,281,334,6.8,en,145,Lightstorm_Entertainment,Crime-Drama-Science_Fiction-Thriller
The_Umbrellas_of_Cherbourg,5967,119,7.6,fr,91,Beta_Film-Madeleine_Films-Parc_Film,Drama-Romance
The_Tie_That_Binds,79593,9,4.6,en,99,Hollywood_Pictures-PolyGram_Filmed_Entertainment-Interscope_Communications,Thriller
Three_Wishes,47939,18,6.1,en,115,Savoy_Pictures,Drama-Fantasy
Total_Eclipse,36834,112,6.5,en,111,Societe_Francaise_de_Production-FIT_Productions-iPortman_Productions,Drama-Romance
To_Wong_Foo_Thanks_for_Everything_Julie_Newmar,9090,117,6.3,en,105,Universal_Pictures-Amblin_Entertainment,Comedy
Under_Siege_2_Dark_Territory,3512,217,5.6,en,100,Regency_Enterprises-Warner_Bros-Seagal_and_Nasso_Productions-iVictor_Company_of_Japan-iCutting_Edge_Films,Action-Thriller
Unstrung_Heroes,52856,9,6.4,en,93,Hollywood_Pictures,Comedy-Drama-Family
Unzipped,77350,6,6,en,73,Hollywood_Pictures,Documentary
A_Walk_in_the_Clouds,9560,168,6.5,en,103,Twentieth_Century_Fox_Film_Corporation-Zucker_Brothers_Productions,Drama-Romance
Waterworld,9804,1017,5.9,en,135,Universal_Pictures-Gordon_Company-Davis_Entertainment-Licht_and_Mueller_Film_Corporation,Adventure-Action
White_Mans_Burden,31611,25,5.1,en,89,HBO-A_BandApart-Rysher_Entertainment,Drama
Wild_Bill,65796,27,5.9,en,98,United_Artists,Action-Western
The_Browning_Version,49805,11,6,en,97,Paramount_Pictures,Drama
Bushwhacked,26258,29,4.9,en,90,Twentieth_Century_Fox_Film_Corporation,Adventure-Action-Comedy-Crime-Family
Burnt_by_the_Sun,50797,35,6.7,ru,135,Canal-Studio_Trite-Camera_One,Drama
Before_the_Rain,19155,45,7.7,en,113,PolyGram_Audiovisuel-British_Screen_Productions,Drama-War
Before_Sunrise,76,984,7.7,en,105,Detour_Film_Production-Warner_Bros,Drama-Romance
Billy_Madison,11017,464,6.2,en,89,Jack_Giarraputo_Productions,Comedy
The_Babysitter,37141,27,4.7,en,90,Spelling_Films_International,Drama-Thriller
Boys_on_the_Side,9382,48,6.3,en,115,Regency_Enterprises-Alcor_Films-Canal-New_Regency_Pictures-iHera_Productions,Comedy-Drama
The_Cure,6715,58,7.2,en,97,Universal_Pictures-Island_World,Drama-Family
Castle_Freak,18256,40,5.8,en,95,Full_Moon_Entertainment,Thriller-Drama-Horror-Mystery
Circle_of_Friends,22625,30,6.5,en,103,The_Rank_Organisation-Bord_Scannan_na_hEireann-Lantana-Price_Entertainment,Drama-Family-Romance
Clerks,2292,769,7.4,en,92,Miramax_Films-View_Askew_Productions,Comedy
Don_Juan_DeMarco,1909,184,6.3,en,97,New_Line_Cinema-American_Zoetrope,Romance-Drama-Comedy
Disclosure,8984,217,5.9,en,123,Warner_Bros-Baltimore_Pictures,Drama-Thriller-Crime-Mystery-Romance
Dream_Man,61813,1,2.5,en,0,Keystone_Pictures-iDream_Man_Productions_Inc,Thriller
Drop_Zone,4954,91,5.1,en,101,Paramount_Pictures,Action-Adventure-Thriller
Destiny_Turns_on_the_Radio,62488,9,5.3,it,0,Savoy_Pictures-iRysher_Entertainment,Crime-Comedy-Fantasy
Death_and_the_Maiden,10531,92,7.1,en,103,Fine_Line_FeaturesChannel_Four_Films-Capitol_Films-TF1_Films_Production-Canal-Flach_Film-Les_Films_de_lAstre,Drama-Thriller-Mystery
Dolores_Claiborne,11929,183,7.1,en,132,Castle_Rock_Entertainment-Columbia_Pictures_Corporation,Crime-Drama-Mystery
Dumb_and_Dumber,8467,1894,6.5,en,107,New_Line_Cinema-Motion_Picture_Corporation_of_America,Comedy
Eat_Drink_Man_Woman,10451,76,7.5,zh,123,Ang_Lee_Productions-Good_Machine-iCentral_Motion_Pictures,Comedy-Drama-Romance
Exotica,20156,64,6.5,en,103,Miramax_Films-Alliance_Entertainment-iEgo_Film_Arts,Drama-Mystery
Exit_to_Eden,18395,28,4.3,en,113,Savoy_Pictures,Thriller-Comedy-Crime-Romance
Ed_Wood,522,639,7.3,en,127,Touchstone_Pictures,Comedy-Drama-History
French_Kiss,397,179,6.2,en,111,Twentieth_Century_Fox_Film_Corporation-PolyGram_Filmed_Entertainment-Working_Title_Films-iPrufrock_Pictures,Comedy-Romance
Forget_Paris,10525,38,6.1,en,101,Columbia_PicturesCastle_Rock_Entertainment,Comedy-Drama-Romance
Far_from_Home:_The_Adventures_of_Yellow_Dog,27985,27,5.6,en,87,Twentieth_Century_Fox_Film_Corporation,Action-Adventure-Drama-Family
A_Goofy_Movie,15789,404,6.7,en,78,Walt_Disney_Pictures,Romance-Animation-Family-Comedy-Adventure
Hideaway,27303,24,5,en,103,TriStar_Pictures,Drama-Thriller
Fluke,21183,48,6.6,en,96,Metro-Goldwyn-Mayer,Drama-Family-Fantasy
Farinelli,10954,20,5.9,fr,111,Italian_International_Film-Stephan_Films-MG,History-Drama
Gordy,47867,4,3,en,90,Italian_International_Film-Stephan_Films-MG,Drama-Family-Fantasy
Gumby:_The_Movie,43475,2,5,en,77,Walt_Disney_Pictures,Fantasy-Animation-Science_Fiction-Family
The_Glass_Shield,72031,9,5.4,en,109,Miramax_Films,Drama-Action-Thriller-Crime
Hoop_Dreams,14275,91,7.7,en,171,Fine_Line_FeaturesKartemquin_Films,Documentary
Heavenly_Creatures,1024,299,6.9,en,99,WingNut_Films-Miramax_Films-New_Zealand_Film_Commission-Fontana_Productions,Drama-Fantasy
